kod_ebssa;departamant;bro_brezhoneg;bro_galleg;dpke_brezhoneg;dpke_galleg;kumun_brezhoneg;kumun_galleg;skol-vamm;skol-gentañ;skolaj;lise;hollad
code_insee;departement;pays_breton;pays_francais;epci_breton;epci_francais;commune_breton;commune_francais;maternelle;elementaire;college;lycee;total
56260;56;Bro Kêr-Wened;Pays de Vannes;Mor Bihan - Gwened tolpad-kêrioù;Golfe du Morbihan - Vannes agglomération;Gwened;Vannes;135;179;158;41;513
56078;56;Bro an Oriant;Pays de Lorient;An Oriant Tolpad-kêrioù;Lorient Agglomération;Gwidel;Guidel;54;70;0;0;124
56083;56;Bro an Oriant;Pays de Lorient;An Oriant Tolpad-kêrioù;Lorient Agglomération;Henbont;Hennebont;109;103;5;0;217
56091;56;Bro Ploermael;Pays de Ploërmel;Ploermael Kumuniezh;Ploërmel Communauté;Josilin;Josselin;17;0;0;0;17
56036;56;Bro an Oriant;Pays de Lorient;An Oriant Tolpad-kêrioù;Lorient Agglomération;Kaodan;Caudan;39;61;10;0;110
56034;56;Bro an Alre;Pays d'Auray;An Alre Kiberen Douar Atlantel;Auray Quiberon Terre Atlantique;Karnag;Carnac;13;24;0;0;37
56032;56;Bro Ploermael;Pays de Ploërmel;Ploermael Kumuniezh;Ploërmel Communauté;Kempenieg;Campénéac;7;4;0;0;11
56094;56;Bro an Oriant;Pays de Lorient;Blavezh Gwelmeur Mor Bras Kumuniezh;Blavet Bellevue Océan Communauté;Kervignag;Kervignac;20;14;0;0;34
56185;56;Bro an Oriant;Pays de Lorient;An Oriant Tolpad-kêrioù;Lorient Agglomération;Kewenn;Quéven ;24;32;11;0;67
56184;56;Bro Kêr-Wened;Pays de Vannes;Kistreberzh Kumuniezh;Questembert Communauté;Kistreberzh;Questembert;44;91;7;0;142
56041;56;Bro Pondi;Pays de Pontivy;Pondi Kumuniezh;Pontivy Communauté;Klegereg;Cléguérec;17;22;0;0;39
56097;56;Bro an Alre;Pays d'Auray;An Alre Kiberen Douar Atlantel;Auray Quiberon Terre Atlantique;Landevan;Landévant;46;27;0;0;73
56101;56;Bro an Oriant;Pays de Lorient;An Oriant Tolpad-kêrioù;Lorient Agglomération;Langedig;Languidic;58;80;0;0;138
56100;56;Bro Kornôg-Kreiz-Breizh;Pays du Centre-Ouest-Bretagne;Roue Morvan Kumuniezh;Roi Morvan Communauté;Langoned;Langonnet;14;28;0;0;42
56098;56;Bro an Oriant;Pays de Lorient;An Oriant Tolpad-kêrioù;Lorient Agglomération;Lannarstêr;Lanester;66;64;16;0;146
56104;56;Bro an Oriant;Pays de Lorient;An Oriant Tolpad-kêrioù;Lorient Agglomération;Lanvodan;Lanvaudan;4;8;0;0;12
56109;56;Bro Kêr-Wened;Pays de Vannes;Kistreberzh Kumuniezh;Questembert Communauté;Laozag;Lauzach;19;17;0;0;36
56117;56;Bro Pondi;Pays de Pontivy;Kreiz ar Mor-Bihan Kumuniezh;Centre Morbihan Communauté;Logunec'h;Locminé;36;54;29;0;119
56118;56;Bro an Oriant;Pays de Lorient;An Oriant Tolpad-kêrioù;Lorient Agglomération;Lokmikaelig;Locmiquélic;22;16;0;0;38
56119;56;Bro an Alre;Pays d'Auray;An Alre Kiberen Douar Atlantel;Auray Quiberon Terre Atlantique;Lokoal-Mendon;Locoal-Mendon;13;30;0;0;43
56127;56;Bro Ploermael;Pays de Ploërmel;Ploermael Kumuniezh;Ploërmel Communauté;Maoron;Mauron;13;13;0;0;26
56128;56;Bro Pondi;Pays de Pontivy;Baod Kumuniezh ;Baud Communauté;Mêlrant;Melrand ;25;23;0;0;48
56140;56;Bro Pondi;Pays de Pontivy;Kreiz ar Mor-Bihan Kumuniezh;Centre Morbihan Communauté;Mourieg;Moréac;33;49;0;0;82
56143;56;Bro Kêr-Wened;Pays de Vannes;KK Gwareg Su Breizh;CC Arc Sud Bretagne;Muzilheg;Muzillac;23;40;24;0;87
56149;56;Bro Kêr-Wened;Pays de Vannes;KK Gwareg Su Breizh;CC Arc Sud Bretagne;Noal-Muzilheg;Noyal-Muzillac;31;10;0;0;41
56121;56;Bro an Oriant;Pays de Lorient;An Oriant Tolpad-kêrioù;Lorient Agglomération;Oriant (an);Lorient ;198;218;39;0;455
56154;56;Bro Redon;Pays de Redon;KK bro Redon;CC du Pays de Redon;Paolieg;Peillac;6;13;0;0;19
56162;56;Bro an Oriant;Pays de Lorient;An Oriant Tolpad-kêrioù;Lorient Agglomération;Plañvour;Ploemeur;49;70;10;0;129
56153;56;Bro Kêr-Wened;Pays de Vannes;KK Gwareg Su Breizh;CC Arc Sud Bretagne;Pleaol;Péaule;16;20;0;0;36
56161;56;Bro an Alre;Pays d'Auray;An Alre Kiberen Douar Atlantel;Auray Quiberon Terre Atlantique;Pleñver;Ploemel;11;28;0;0;39
56158;56;Bro Kêr-Wened;Pays de Vannes;Mor Bihan - Gwened tolpad-kêrioù;Golfe du Morbihan - Vannes agglomération;Pleskob;Plescop;38;20;0;0;58
56177;56;Bro an Alre;Pays d'Auray;An Alre Kiberen Douar Atlantel;Auray Quiberon Terre Atlantique;Pleuwigner;Pluvigner;52;82;0;0;134
56165;56;Bro Ploermael;Pays de Ploërmel;Ploermael Kumuniezh;Ploërmel Communauté;Ploermael;Ploërmel;20;24;0;0;44
56166;56;Bro an Oriant;Pays de Lorient;An Oriant Tolpad-kêrioù;Lorient Agglomération;Ploue;Plouay;50;58;21;0;129
56164;56;Bro Kêr-Wened;Pays de Vannes;Mor Bihan - Gwened tolpad-kêrioù;Golfe du Morbihan - Vannes agglomération;Ploveren;Ploeren;13;29;0;0;42
56176;56;Bro an Alre;Pays d'Auray;An Alre Kiberen Douar Atlantel;Auray Quiberon Terre Atlantique;Plunered;Pluneret;76;122;27;0;225
56174;56;Bro Pondi;Pays de Pontivy;Kreiz ar Mor-Bihan Kumuniezh;Centre Morbihan Communauté;Pluverin;Plumelin;24;32;0;0;56
56178;56;Bro Pondi;Pays de Pontivy;Pondi Kumuniezh;Pontivy Communauté;Pondi;Pontivy;40;47;0;0;87
56179;56;Bro an Oriant;Pays de Lorient;An Oriant Tolpad-kêrioù;Lorient Agglomération;Pont-Skorf;Pont-Scorff;39;36;0;0;75
56152;56;Bro an Alre;Pays d'Auray;KK ar Gerveur;CC de Belle Ile en Mer;Porzh-Lae;Palais;23;0;0;0;23
56193;56;Bro an Oriant;Pays de Lorient;An Oriant Tolpad-kêrioù;Lorient Agglomération;Rianteg;Riantec;15;30;0;0;45
56263;56;Bro an Alre;Pays d'Auray;An Alre Kiberen Douar Atlantel;Auray Quiberon Terre Atlantique;Santez-Anna-Wened;Sainte-Anne-d'Auray;16;8;19;0;43
56206;56;Bro Kêr-Wened;Pays de Vannes;Mor Bihan - Gwened tolpad-kêrioù;Golfe du Morbihan - Vannes agglomération;Sant-Teve;Saint-Avé;51;86;10;0;147
56240;56;Bro Kêr-Wened;Pays de Vannes;Mor Bihan - Gwened tolpad-kêrioù;Golfe du Morbihan - Vannes agglomération;Sarzhav;Sarzeau;19;17;0;0;36
56243;56;Bro Kêr-Wened;Pays de Vannes;Mor Bihan - Gwened tolpad-kêrioù;Golfe du Morbihan - Vannes agglomération;Sine;Séné;20;16;0;0;36
56137;56;Bro Kêr-Wened;Pays de Vannes;Mor Bihan - Gwened tolpad-kêrioù;Golfe du Morbihan - Vannes agglomération;Sterwenn;Monterblanc;16;35;0;0;51
56248;56;Bro Kêr-Wened;Pays de Vannes;Mor Bihan - Gwened tolpad-kêrioù;Golfe du Morbihan - Vannes agglomération;Surzhur;Surzur;40;46;0;0;86
56251;56;Bro Kêr-Wened;Pays de Vannes;Mor Bihan - Gwened tolpad-kêrioù;Golfe du Morbihan - Vannes agglomération;Teiz-Noaloù;Theix-Noyalo;58;67;25;0;150
56090;56;Bro an Oriant;Pays de Lorient;An Oriant Tolpad-kêrioù;Lorient Agglomération;Zinzag-Lokrist;Inzinzac-Lochrist;17;9;0;0;26
