kod_ebssa;departamant;bro_brezhoneg;bro_galleg;dpke_brezhoneg;dpke_galleg;kumun_brezhoneg;kumun_galleg;skol-vamm;skol-gentañ;skolaj;lise;hollad
code_insee;departement;pays_breton;pays_francais;epci_breton;epci_francais;commune_breton;commune_francais;maternelle;elementaire;college;lycee;total
22362;22;Bro Dreger;Pays du Trégor;Lannuon-Treger Kumuniezh;Lannion-Trégor Communauté;Landreger;Tréguier ;16;10;0;0;26
22121;22;Bro Gwengamp;Pays de Guingamp;Leñv Arvor Kumuniezh;Leff Armor Communauté;Lannolon;Lanvollon ;14;18;0;0;32
22113;22;Bro Dreger;Pays du Trégor;Lannuon-Treger Kumuniezh;Lannion-Trégor Communauté;Lannuon;Lannion ;113;169;93;55;430
22115;22;Bro Kornôg-Kreiz-Breizh;Pays du Centre-Ouest-Bretagne;KK Kreiz-Breizh;CC du Kreiz-Breizh;Larruen;Lanrivain;17;19;0;0;36
22134;22;Bro Dreger;Pays du Trégor;Lannuon-Treger Kumuniezh;Lannion-Trégor Communauté;Louaneg;Louannec ;16;20;0;0;36
22135;22;Bro Gwengamp;Pays de Guingamp;Gwengamp-Pempoull Arvor-Argoad Tolpad-kêrioù;Guingamp-Paimpol Armor-Argoat Agglomération;Louergad;Louargat ;26;32;0;0;58
22137;22;Bro Kornôg-Kreiz-Breizh;Pays du Centre-Ouest-Bretagne;KK Kreiz-Breizh;CC du Kreiz-Breizh;Mêl-Karaez;Maël-Carhaix ;20;34;0;0;54
22161;22;Bro Gwengamp;Pays de Guingamp;Gwengamp-Pempoull Arvor-Argoad Tolpad-kêrioù;Guingamp-Paimpol Armor-Argoat Agglomération;Pabu;Pabu;40;61;0;0;101
22162;22;Bro Gwengamp;Pays de Guingamp;Gwengamp-Pempoull Arvor-Argoad Tolpad-kêrioù;Guingamp-Paimpol Armor-Argoat Agglomération;Pempoull;Paimpol;26;21;0;0;47
22168;22;Bro Dreger;Pays du Trégor;Lannuon-Treger Kumuniezh;Lannion-Trégor Communauté;Perroz-Gireg;Perros-Guirec ;10;21;0;0;31
22166;22;Bro Dreger;Pays du Trégor;Lannuon-Treger Kumuniezh;Lannion-Trégor Communauté;Perwenan;Penvénan;13;25;0;0;38
22176;22;Bro Sant-Brieg;Pays de Saint-Brieuc;Sant-Brieg Arvor Tolpad-kêrioù;Saint-Brieuc Armor Agglomération;Pledran;Plédran;17;22;0;0;39
22187;22;Bro Sant-Brieg;Pays de Saint-Brieuc;Sant-Brieg Arvor Tolpad-kêrioù;Saint-Brieuc Armor Agglomération;Plerin;Plerin;30;54;0;0;84
22204;22;Bro Gwengamp;Pays de Guingamp;Gwengamp-Pempoull Arvor-Argoad Tolpad-kêrioù;Guingamp-Paimpol Armor-Argoat Agglomération;Pleuzal / Runan;Ploëzal / Runan;15;18;0;0;33
